COUNTY,Year,Housing_Units,Population,Units_Per_Capita,Pop_Growth
Adams,1990,5263,13603,0.3868999485407631,
Adams,1991,5295,13823,0.3830572234681328,1.617290303609498
Adams,1992,5334,14063,0.3792931806869089,1.7362367069377125
Adams,1993,5384,14335,0.37558423439134986,1.9341534523216952
Adams,1994,5460,14679,0.3719599427753934,2.3997209626787583
Adams,1995,5537,15030,0.3683965402528277,2.391171060698958
Adams,1996,5591,15323,0.3648763297004503,1.9494344644045245
Adams,1997,5674,15698,0.36144731812969805,2.4473014422763164
Adams,1998,5685,15879,0.35802002645002834,1.1530131226907885
Adams,1999,5728,16151,0.35465296266485047,1.7129542162604698
Adams,2000,5773,16428,0.3514122230338447,1.7150640827193364
Adams,2001,5849,16699,0.3502604946403976,1.6496225955685415
Adams,2002,5924,16911,0.35030453550943175,1.2695370980298222
Adams,2003,6013,17081,0.3520285697558691,1.0052628466678493
Adams,2004,6157,17489,0.35204985991194465,2.3886189333177215
Adams,2005,6210,17643,0.35198095561979253,0.8805534907656241
Adams,2006,6222,17690,0.35172413793103446,0.26639460409227456
Adams,2007,6296,17959,0.3505763127122891,1.5206331260599208
Adams,2008,6367,18214,0.3495662677061601,1.4199008853499637
Adams,2009,6420,18421,0.34851528147223276,1.136488415504557
Adams,2010,6242,18728,0.33329773601025203,1.666576190217686
Adams,2011,6278,18849,0.3330680672714733,0.6460914139256727
Adams,2012,6327,19013,0.3327723136801136,0.8700726829009497
Adams,2013,6380,19172,0.33277696640934695,0.8362699205806554
Adams,2014,6421,19309,0.33253923041068933,0.7145837679949927
Adams,2015,6484,19451,0.3333504704128322,0.7354083587964162
Adams,2016,6576,19643,0.33477574708547575,0.9870957791373194
Adams,2017,6722,20068,0.3349611321506877,2.163620628213613
Adams,2018,6762,20200,0.33475247524752477,0.6577636037472593
Adams,2019,6805,20335,0.3346447012539956,0.6683168316831684
Adams,2020,6735,20613,0.32673555523213504,1.3671010572903861
Adams,2021,6846,20900,0.3275598086124402,1.3923252316499295
Adams,2022,6921,21100,0.3280094786729858,0.9569377990430622
Adams,2023,6974,21200,0.3289622641509434,0.47393364928909953
Adams,2024,7050,21475,0.32828870779976715,1.2971698113207548
Adams,2025,7109,21550,0.32988399071925756,0.3492433061699651
Asotin,1990,7519,17605,0.42709457540471457,
Asotin,1991,7576,17677,0.42857951009786727,0.40897472309003124
Asotin,1992,7685,17866,0.4301466472629576,1.0691859478418284
Asotin,1993,7825,18124,0.43174795850805564,1.444083734467704
Asotin,1994,8091,18666,0.4334619093539055,2.9905098212315164
Asotin,1995,8239,18937,0.435074193378043,1.451837565627344
Asotin,1996,8572,19622,0.4368565895423504,3.617257221312774
Asotin,1997,8745,19943,0.43849972421400996,1.6359188665783304
Asotin,1998,8892,20202,0.44015444015444016,1.2987012987012987
Asotin,1999,9031,20442,0.44178651795323354,1.188001188001188
Asotin,2000,9111,20551,0.4433360907011824,0.5332159279913903
Asotin,2001,9182,20650,0.4446489104116223,0.4817283830470536
Asotin,2002,9229,20652,0.4468816579508038,0.009685230024213074
Asotin,2003,9294,20709,0.44879038099377083,0.2760023242300988
Asotin,2004,9367,20779,0.45079166466143705,0.33801728716982954
Asotin,2005,9476,20939,0.45255265294426666,0.7700081813369267
Asotin,2006,9604,21176,0.4535323007177937,1.1318592100864415
Asotin,2007,9744,21413,0.455050670153645,1.1191915375897243
Asotin,2008,9850,21522,0.4576712201468265,0.5090365665717088
Asotin,2009,9922,21593,0.45950076413652574,0.3298949911718242
Asotin,2010,9872,21623,0.45655089488045136,0.13893391376835085
Asotin,2011,9903,21667,0.4570545068537407,0.203487027701984
Asotin,2012,9923,21680,0.45770295202952027,0.05999907693727789
Asotin,2013,9938,21725,0.4574453394706559,0.20756457564575648
Asotin,2014,9967,21790,0.45741165672326756,0.2991944764096663
Asotin,2015,10027,21889,0.458083969116908,0.4543368517668655
