"SEQUENCE","FILTER","COUNTY","JURISDICTION","HU_1990","HU_1991","HU_1992","HU_1993","HU_1994","HU_1995","HU_1996","HU_1997","HU_1998","HU_1999","HU_2000","HU_2001","HU_2002","HU_2003","HU_2004","HU_2005","HU_2006","HU_2007","HU_2008","HU_2009","HU_2010","HU_2011","HU_2012","HU_2013","HU_2014","HU_2015","HU_2016","HU_2017","HU_2018","HU_2019","HU_2020","HU_2021","HU_2022","HU_2023","HU_2024","HU_2025"
"1","1","Adams","Adams County","5,263","5,295","5,334","5,384","5,460","5,537","5,591","5,674","5,685","5,728","5,773","5,849","5,924","6,013","6,157","6,210","6,222","6,296","6,367","6,420","6,242","6,278","6,327","6,380","6,421","6,484","6,576","6,722","6,762","6,805","6,735","6,846","6,921","6,974","7,050","7,109"
"2","2","Adams","Unincorporated Adams County","2,361","2,429","2,412","2,484","2,511","2,536","2,579","2,565","2,546","2,564","2,561","2,614","2,675","2,727","2,780","2,809","2,847","2,890","2,921","2,951","2,713","2,732","2,755","2,781","2,796","2,822","2,862","2,881","2,903","2,931","2,862","2,897","2,904","2,910","2,924","2,937"
"3","3","Adams","Incorporated Adams County","2,902","2,866","2,922","2,900","2,949","3,001","3,012","3,109","3,139","3,164","3,212","3,235","3,249","3,286","3,377","3,401","3,375","3,406","3,446","3,469","3,529","3,546","3,572","3,599","3,625","3,662","3,714","3,841","3,859","3,874","3,873","3,949","4,017","4,064","4,126","4,172"
"4","4","Adams","Hatton","29","32","32","32","32","32","35","35","35","35","35","39","35","35","35","38","38","38","38","38","40","40","41","41","41","43","44","45","45","47","26","26","26","28","49","49"
"5","4","Adams","Lind","243","206","270","225","234","234","252","270","280","298","307","307","306","306","305","305","305","305","305","304","276","275","274","274","272","272","268","268","268","268","248","248","249","248","249","249"
"6","4","Adams","Othello","1,637","1,637","1,633","1,660","1,697","1,748","1,740","1,804","1,822","1,827","1,864","1,879","1,900","1,939","2,033","2,054","2,024","2,057","2,106","2,133","2,185","2,203","2,230","2,257","2,287","2,323","2,378","2,505","2,522","2,533","2,616","2,688","2,753","2,799","2,836","2,879"
"7","4","Adams","Ritzville","883","883","882","880","879","879","877","875","874","873","873","877","878","877","876","875","874","873","876","874","902","903","902","902","900","899","897","897","898","900","872","876","879","879","882","885"
"8","4","Adams","Washtucna","110","108","105","103","107","108","108","125","128","131","133","133","130","129","128","129","134","133","121","120","126","125","125","125","125","125","127","126","126","126","111","111","110","110","110","110"
"9","1","Asotin","Asotin County","7,519","7,576","7,685","7,825","8,091","8,239","8,572","8,745","8,892","9,031","9,111","9,182","9,229","9,294","9,367","9,476","9,604","9,744","9,850","9,922","9,872","9,903","9,923","9,938","9,967","10,027","10,078","10,107","10,117","10,160","10,034","10,157","10,214","10,258","10,300","10,328"
"10","2","Asotin","Unincorporated Asotin County","4,064","4,175","4,210","4,353","4,433","4,730","4,935","5,009","5,044","5,082","5,257","5,311","5,370","5,436","5,500","5,599","5,725","5,854","5,943","6,002","5,924","5,956","5,974","5,993","6,022","6,073","6,115","6,149","6,198","6,237","6,239","6,320","6,371","6,409","6,449","6,474"
